source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T2-4 Rajasthan/Large/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Rajasthan,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/SC/area/MarginalvsSmall,AgCensus2015-16,T2-4,Rajasthan,SC,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/SC/area/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Rajasthan,SC,area,Semi-mediumvsLarge,landholding,semi-medium operated area,large operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Rajasthan,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Rajasthan,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Rajasthan,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Rajasthan,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Rajasthan,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Rajasthan,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Rajasthan,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,1,1,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/ST/area/SmallvsMedium,AgCensus2015-16,T2-4,Rajasthan,ST,area,SmallvsMedium,landholding,small operated area,medium operated area,1,1,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Rajasthan,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,1,1,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Rajasthan,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Rajasthan,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Rajasthan,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Rajasthan,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Rajasthan,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Rajasthan,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Rajasthan,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Rajasthan,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Small/area/SCvsST,AgCensus2015-16,T2-4,Rajasthan,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Rajasthan,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Small/number/SCvsST,AgCensus2015-16,T2-4,Rajasthan,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,7,7,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Rajasthan/Small/number/STvsOthers,AgCensus2015-16,T2-4,Rajasthan,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Sikkim,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Sikkim,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,Sikkim,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Sikkim,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Sikkim,All,area,SmallvsMedium,landholding,small operated area,medium operated area,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Sikkim,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Sikkim,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Sikkim,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Sikkim,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Sikkim,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Sikkim,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Sikkim,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Sikkim,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Sikkim,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Sikkim,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Sikkim,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Sikkim,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,1,1,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Sikkim,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Sikkim,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Sikkim,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Sikkim,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Sikkim,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Sikkim,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Sikkim/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Sikkim,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Tamil Nadu,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Tamil Nadu,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/area/MediumvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,SC,area,MediumvsLarge,landholding,medium operated area,large operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Tamil Nadu,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,1,0,1,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,0,3,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Tamil Nadu,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Tamil Nadu,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Tamil Nadu,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Tamil Nadu/Small/number/STvsOthers,AgCensus2015-16,T2-4,Tamil Nadu,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Telangana,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Telangana,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Telangana,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Telangana,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Telangana,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Telangana,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Telangana,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Telangana,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Telangana,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Telangana,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Telangana,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Telangana,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Telangana,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/Large/area/SCvsST,AgCensus2015-16,T2-4,Telangana,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Telangana,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,7,7,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Telangana,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Telangana,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Telangana,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Telangana,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Telangana,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Telangana,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Telangana,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Telangana,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Telangana,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Telangana,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Telangana/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Telangana,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
